"recipient","agency","subagency","obligation"
"THUNDERCAT TECHNOLOGY LLC","Department of Defense","Department of the Navy",17526877.91
"THUNDERCAT TECHNOLOGY LLC","Department of Defense","U.S. Special Operations Command",6042719.8
"THUNDERCAT TECHNOLOGY LLC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",6225929.54
"THUNDERCAT TECHNOLOGY LLC","Department of Health and Human Services","Food and Drug Administration",5551091.77
"THUNDERCAT TECHNOLOGY LLC","Department of Health and Human Services","National Institutes of Health",74753668.72
"THUNDERCAT TECHNOLOGY LLC","Department of Homeland Security","Office of the Chief Procurement Officer",9402073.2
"THUNDERCAT TECHNOLOGY LLC","Department of Homeland Security","Office of the Under Secretary for Science and Technology",1182806.55
"THUNDERCAT TECHNOLOGY LLC","Department of Homeland Security","Transportation Security Administration",17080665.31
"THUNDERCAT TECHNOLOGY LLC","Department of Homeland Security","U.S. Customs and Border Protection",17246157.09
"THUNDERCAT TECHNOLOGY LLC","Department of Homeland Security","U.S. Immigration and Customs Enforcement",2504208.24
"THUNDERCAT TECHNOLOGY LLC","Department of Homeland Security","U.S. Secret Service",7344851.26
"THUNDERCAT TECHNOLOGY LLC","Department of Justice","Federal Bureau of Investigation",35162760.29
"THUNDERCAT TECHNOLOGY LLC","Department of Justice","Offices, Boards and Divisions",2962066.63
"THUNDERCAT TECHNOLOGY LLC","Department of Labor","Bureau of Labor Statistics",2778482.49
"THUNDERCAT TECHNOLOGY LLC","Department of Labor","Office of the Assistant Secretary for Administration and Management",3574330.51
"THUNDERCAT TECHNOLOGY LLC","Department of State","Department of State",3985107.3
"THUNDERCAT TECHNOLOGY LLC","Department of the Interior","U.S. Geological Survey",1921166.21
"THUNDERCAT TECHNOLOGY LLC","Department of the Treasury","Bureau of the Fiscal Service",3404456.54
"THUNDERCAT TECHNOLOGY LLC","Department of the Treasury","United States Mint",1022023.88
"THUNDERCAT TECHNOLOGY LLC","Department of Transportation","Immediate Office of the Secretary of Transportation",1111378.49
"THUNDERCAT TECHNOLOGY LLC","Department of Veterans Affairs","Department of Veterans Affairs",135793667.93
"THUNDERCAT TECHNOLOGY LLC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",4856714.06
"THUNDERCAT TECHNOLOGY LLC","Nuclear Regulatory Commission","Nuclear Regulatory Commission",2330979.24
"THUNDERCAT TECHNOLOGY LLC","Office of Personnel Management","Office of Personnel Management",9645120.16
"THUNDERCAT TECHNOLOGY LLC","Railroad Retirement Board","Railroad Retirement Board",1084822.02
"THUNDERCAT TECHNOLOGY LLC","Securities and Exchange Commission","Securities and Exchange Commission",18052622.14
"THURSBY SOFTWARE SYSTEMS INC","Department of Defense","Department of the Navy",3117995.91
"THYSSENKRUPP ELEVATOR CORPORATION","Department of Transportation","Federal Aviation Administration",1221283.4
"THYSSENKRUPP ELEVATOR CORPORATION","Department of Veterans Affairs","Department of Veterans Affairs",8519702.13
"THYSSENKRUPP ELEVATOR CORPORATION","General Services Administration","Public Buildings Service",5118894.19
"TI ASSET MANAGEMENT INC","Department of Veterans Affairs","Department of Veterans Affairs",1581588.62
"TI2E","Department of Health and Human Services","Office of the Assistant Secretary for Administration",3874714.68
"TIAX LLC","Department of Defense","Department of the Air Force",5613816
"TIAX LLC","Department of Defense","Department of the Army",3766497.17
"TIAX LLC","Department of Defense","Department of the Navy",3010067.56
"TIBURON ASSOCIATES INC","Department of Health and Human Services","Office of the Assistant Secretary for Administration",39399892.58
"TIC SECURITY LLC","Department of Defense","Department of Defense",7936145.97
"TIC SECURITY LLC","Securities and Exchange Commission","Securities and Exchange Commission",1265817.6
"TIC SECURITY LLC","Social Security Administration","Social Security Administration",1276596.94
"TICHENOR AND ASSOCIATES","Agency for International Development","Agency for International Development",3232055.3
"TIDEWATER DISTRIBUTORS LLC","Department of Defense","U.S. Special Operations Command",15607221.61
"TIDEWATER INC","Department of Defense","Department of the Army",8223295.31
"TIDEWATER INC","Department of Defense","Department of the Navy",8797202.55
"TIDEWATER INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",18482407.08
"TIDEWATER INC","Department of State","Department of State",3567640.84
"TIDEWATER INCORPORATED","Department of Defense","Department of Defense",1088492
"TIDEWATER-SOVEREIGN JV","Department of Defense","Department of the Navy",4047250.53
"TIEM IMPIANTI SRL","Department of Defense","Department of the Air Force",1025380.69
"TIER 1 GROUP LIMITED LIABILITY COMPANY","Department of Defense","Department of the Air Force",1178858.56
"TIER 1 PERFORMANCE SOLUTIONS LLC","Department of Defense","Defense Security Cooperation Agency",5079714.78
"TIER 1 PERFORMANCE SOLUTIONS LLC","Department of Defense","Department of the Navy",1129181.54
"TIER TECH INTERNATIONAL INC","Social Security Administration","Social Security Administration",11616969.46
"TIETRONIX SOFTWARE INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",8217107.04
"TIFCO INDUSTRIES INC","Department of Defense","Defense Logistics Agency",1061915.62
"TIFFIN METAL PRODUCTS CO","Department of Defense","Defense Logistics Agency",1212514.11
"TIGER NATURAL GAS INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",3797183.71
"TIGER VAC INC","Department of Defense","Department of the Navy",1660934.27
"TIGERSWAN INC","Department of State","Department of State",8224822.4
"TIGUA ENTERPRISES INC","Department of Defense","Department of the Army",22658272.17
"TIGUA ENTERPRISES INC","Department of Homeland Security","U.S. Customs and Border Protection",9648060.7
"TIGUA ENTERPRISES INC","Department of Justice","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",6294907.32
"TIGUA ENTERPRISES INC","Department of State","Department of State",19565279.43
"TIGUA ENTERPRISES INC","General Services Administration","Public Buildings Service",2841111.46
"TIGUA FACILITY SERVICES INC","Department of Defense","Department of the Army",1384387.52
"TIGUA FACILITY SERVICES INC","Department of Health and Human Services","Indian Health Service",6427396
"TIKIGAQ AGVIQ LLC","Department of Defense","Department of the Navy",1181607.02
"TIKIGAQ CONSTRUCTION LLC","Department of Defense","Department of the Army",2579849
"TIKIGAQ CONSTRUCTION LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",19521993.56
"TIKIGAQ CONSTRUCTION LLC","Department of Homeland Security","U.S. Customs and Border Protection",5237597.95
"TIKIGAQ CONSTRUCTION LLC","General Services Administration","Public Buildings Service",10073887.27
"TILT UP CONSTRUCTION INC","Department of Defense","Department of the Army",3622375.92
"TILT UP CONSTRUCTION INC","Department of Defense","Washington Headquarters Services",3945893.18
"TILT UP CONSTRUCTION INC","Department of Health and Human Services","Food and Drug Administration",1383135.34
"TILT UP CONSTRUCTION INC","Department of Health and Human Services","National Institutes of Health",1686774.45
"TIM PRICE INC","Department of Defense","Department of the Army",4188163.45
"TIME LED DEVELOPMENT LLC","Department of Defense","Department of the Army",2399923.86
"TIME LED DEVELOPMENT LLC","Department of Defense","Department of the Navy",7394077.12
"TIME SYSTEMS LLC","Department of Defense","Department of the Army",1952360.26
"TIMKEN GEARS & SERVICES INC","Department of Transportation","Saint Lawrence Seaway Development Corporation",2666942
"TIMMONS GROUP INC","Department of Agriculture","Forest Service",1683094.8
"TIMMONS GROUP INC","Department of Homeland Security","U.S. Coast Guard",1638343.6
"TINOSA INC","Department of Defense","Department of the Navy",1728043.5
"TIOGA PIPE INC","Department of Defense","Department of the Navy",1812259.46
"TIPPING POINT SOLUTIONS INC","Department of Defense","Department of the Army",3931550.13
"TISCARENO ASSOCIATES PS","Department of Veterans Affairs","Department of Veterans Affairs",1200765.67
"TISPORT LIMITED LIABILITY COMPANY","Department of Veterans Affairs","Department of Veterans Affairs",2453889.33
"TISSA ENTERPRISES INC","General Services Administration","Public Buildings Service",1104732
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Agriculture","Food Safety and Inspection Service",6329226.24
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Defense","Defense Information Systems Agency",1523153.79
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Defense","Department of Defense",4328501.84
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Defense","Department of the Air Force",3055994.1
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Defense","Department of the Army",11398681.33
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Education","Department of Education",2459171.7
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Health and Human Services","Centers for Medicare and Medicaid Services",177162404.67
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Health and Human Services","National Institutes of Health",10500000
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response",4332394.5
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Homeland Security","U.S. Secret Service",12729063.24
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of the Treasury","Internal Revenue Service",13360969.83
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Department of Veterans Affairs","Department of Veterans Affairs",30072672.9
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","National Aeronautics and Space Administration","National Aeronautics and Space Administration",1481730.11
"TISTA SCIENCE AND TECHNOLOGY CORPORATION","Peace Corps","Peace Corps",1630425.6
"TISTCORP II LLC","Department of Defense","Department of the Army",13515663.41
"TISTCORP INC","Department of Defense","Department of the Navy",5973776.05
"TITAN ELECTRIC INC","Department of Energy","Department of Energy",1022272.88
"TITAN FACILITY SERVICES LLC","Department of Defense","Department of the Air Force",3226623.6
"TITAN MEDICAL GROUP LLC","Department of Health and Human Services","Indian Health Service",1711161.33
"TITANIA SOLUTIONS GROUP INC","Department of Transportation","Federal Aviation Administration",3429717.61
"TITUS SPORTS ACADEMY LLC","Department of Defense","U.S. Special Operations Command",1441957.48
"TIYA SUPPORT SERVICES LLC","Department of Defense","Department of the Army",394668785.72
"TJ RAMPIT USA INC","Department of Veterans Affairs","Department of Veterans Affairs",2085499.13
"TJC ENGINEERING INC","Department of Defense","Department of the Army",4406099
"TJC ENGINEERING INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3060585
"TK SERVICES INC","Department of Defense","Department of the Army",16643388.33
"TK SERVICES INC","General Services Administration","Public Buildings Service",2367511.73
"TK WORLD WIDE GROUP INC","Department of Homeland Security","Office of the Chief Procurement Officer",5832863.14
"TK&K SERVICES LLC","Department of Defense","Defense Logistics Agency",69876316.01
"TKC TECHNOLOGY SOLUTIONS LIMITED LIABILITY COMPANY","Department of Homeland Security","Transportation Security Administration",1029835
"TKH-ASI LLC","Department of Defense","Department of the Navy",15296519
"TKSIHKT INC","Department of Defense","Department of the Army",5043492.16
"TKTMJ INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",6291470
"TL SERVICES INC","Department of Defense","Department of the Air Force",2691237.18
"TL SERVICES INC","Department of Veterans Affairs","Department of Veterans Affairs",33740904.98
"TL SERVICES INC","General Services Administration","Public Buildings Service",3683837.15
"TLD AMERICA CORPORATION","Department of Defense","Department of the Army",2112700
"TLI SOLUTIONS INC","Department of Defense","Department of the Army",33055821.77
"TLI SOLUTIONS INC","Department of Energy","Department of Energy",1515335.86
"TLN WORLDWIDE ENTERPRISES INC","Securities and Exchange Commission","Securities and Exchange Commission",4519307.37
"TLS CONTRACTING INC","Department of Veterans Affairs","Department of Veterans Affairs",12902156.36
"TLSL INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1118135.04
"TM CAPTURE SERVICES LLC","Department of Defense","Department of the Air Force",9085757.52
"TM3 SOLUTIONS INC","Department of Defense","Department of Defense",3620203.29
"TM3 SOLUTIONS INC","Department of Defense","Department of the Navy",2351000
"TMA SYSTEMS LLC","Department of Health and Human Services","Indian Health Service",2891834.28
"TMC DESIGN CORPORATION","Department of Defense","Department of the Army",4376129
"TMC SOLUTIONS INC","Department of Homeland Security","Transportation Security Administration",1245028.04
"TMC TECHNOLOGIES OF WEST VIRGINIA CORP","Department of Justice","Federal Bureau of Investigation",1831626.5
"TMC TECHNOLOGIES OF WEST VIRGINIA CORP","National Aeronautics and Space Administration","National Aeronautics and Space Administration",10180794.87
"TMG SERVICES INC","Department of Defense","Department of the Army",6655413.98
"TMG SERVICES INC","Department of Defense","Department of the Navy",9734006.98
"TMG SERVICES INC","Department of Homeland Security","Office of the Chief Procurement Officer",1621180.6
"TMGE LLC","Department of Defense","Department of the Air Force",1105000
"TMGE LLC","Department of Defense","Department of the Navy",3089746.95
"TMV LLC","Department of Defense","Defense Logistics Agency",102710897.76
"TNDA TECHNOLOGIES INC","Department of Defense","Department of the Navy",1920564.24
"TNF-PENZA JOINT VENTURE","Department of Veterans Affairs","Department of Veterans Affairs",1482372.75
"TNO LOCATIE RIJSWIJK","Department of Defense","Defense Threat Reduction Agency",3378020.22
"TOA CORPORATION","Department of Defense","Department of the Air Force",26477026.23
"TOA CORPORATION","Department of Defense","Department of the Army",99070409.17
"TOA-OSHIRO JV","Department of Defense","Department of the Navy",1745175.04
"TODD DANIEL","Department of Veterans Affairs","Department of Veterans Affairs",1420287.28
"TODDS QUALITY TOMATOES INC","Department of Defense","Defense Logistics Agency",75631616.87
"TOEROEK ASSOCIATES INC","Department of Defense","Defense Threat Reduction Agency",4389934.81
"TOEROEK ASSOCIATES INC","Environmental Protection Agency","Environmental Protection Agency",66692032.28
"TOFFLER ASSOCIATES INC","Department of Defense","Defense Security Service",3439487.07
"TOFFLER ASSOCIATES INC","Department of Homeland Security","National Protection and Programs Directorate",18369849.62
"TOKUNAGA ELITE JV LLC","Department of Defense","Department of the Navy",3536307
"TOKYO BUSINESS SERVICE COLTD","Department of Defense","Department of the Air Force",4050467.03
"TOKYU CONSTRUCTION CO LTD","Department of Defense","Department of the Army",7974930.8
"TOKYU CONSTRUCTION SEIKITOKYU KOGYO JV","Department of Defense","Department of the Navy",35254042.52
"TOLAND & MIZELL ARCHITECTS INC","Department of Agriculture","Agricultural Research Service",1156897.33
"TOLAND & MIZELL ARCHITECTS INC","Department of Defense","Department of the Air Force",1824982.06
"TOLAND & MIZELL ARCHITECTS INC","Department of Veterans Affairs","Department of Veterans Affairs",3182198.61
"TOLAND MIZELL MOLNAR LLC","Department of Veterans Affairs","Department of Veterans Affairs",11244559.03
"TOLL REMOTE LOGISTICS PTY LTD","Department of Defense","Department of the Navy",8987079.48
"TOLLEFSON MEGHA","Department of Health and Human Services","Health Resources and Services Administration",15219879.46
"TOLLIVER GROUP INC THE","Department of Defense","Department of the Army",10802195.46
"TOLLIVER GROUP INC THE","Department of State","Department of State",12150044.55
"TOLMAN ENGINEERING ARCHITECTURE & SURVEYING PLLC","Department of Veterans Affairs","Department of Veterans Affairs",2790842.66
"TOM & JERRY INC","Department of Defense","Department of the Army",1211369.98
"TOM HAMMONDS ENTERPRISES LLC","Department of Defense","Department of the Air Force",9640327.75
"TOM HAMMONDS ENTERPRISES LLC","General Services Administration","Public Buildings Service",1284171.05
"TOM SMITH FIRE EQUIPMENT CO INC","Department of Defense","Department of the Air Force",2448750.1
"TOM VAZQUEZ JANITORIAL SERVICES INC","Department of Defense","Department of the Army",2251904.86
"TOMCO CORP","Department of Defense","Department of the Navy",9267284.83
"TOMMY NOBIS ENTERPRISES","Environmental Protection Agency","Environmental Protection Agency",3747603.01
"TOMORROWS HOPE LLC","Department of Veterans Affairs","Department of Veterans Affairs",1232786.63
"TOMPCO INC","Department of Defense","Department of the Navy",14987480.2
"TOMPCO- TRITON INC","Department of the Interior","Bureau of Reclamation",1521449
"TONY DOWNS FOODS CO","Department of Agriculture","Food and Nutrition Service",1402167
"TONY VACCA CONSTRUCTION INC","Department of Veterans Affairs","Department of Veterans Affairs",2458777
"TONY VACCA CONSTRUCTION INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",2651901
"TOOL INC","Department of Defense","Department of the Army",1193876
"TOOL MASTERS INC","Department of Defense","Department of the Army",4495745.51
"TOOTLE CONSTRUCTION LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1066668.67
"TOOTLE CONSTRUCTION LLC","Department of the Interior","National Park Service",2173489.36
"TOOTLE CONSTRUCTION LLC","General Services Administration","Public Buildings Service",1776552
"TOP DOCS INC","Department of Veterans Affairs","Department of Veterans Affairs",2957031.92
"TOP GUN CONTRACTING","Department of Defense","Department of the Air Force",4885143.85
"TOP NOTCH SECURITY INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",2457488.99
"TOPCON MEDICAL LASER SYSTEMS INC","Department of Veterans Affairs","Department of Veterans Affairs",3926240
"TOPE TECHNOLOGY LLC","Department of Defense","Defense Information Systems Agency",4964914.72
"TOPE TECHNOLOGY LLC","Department of Defense","Defense Logistics Agency",6182264.2
"TOPE TECHNOLOGY LLC","Department of Defense","Department of Defense",1838803.82
"TOPE TECHNOLOGY LLC","Department of Defense","Department of the Air Force",5802514.23
"TOPE TECHNOLOGY LLC","Department of Defense","Department of the Army",1446568.91
"TOPP KNOTCH PERSONNEL INC","Department of Agriculture","Office of the Chief Financial Officer",1322067.06
"TOPSIDE CONTRACTING LLC","Department of Defense","Department of the Air Force",5058496.58
"TOPSIDE CONTRACTING LLC","Department of Defense","Department of the Navy",1473608.47
"TOPTICA PHOTONICS INC","Department of Commerce","National Institute of Standards and Technology",1424873
"TOPVUE INC","Department of Defense","Department of the Army",4996079
"TORAY COMPOSITE MATERIALS AMERICA INC","Department of Defense","Defense Logistics Agency",4067698.97
"TORC ROBOTICS LLC","Department of Defense","Department of the Air Force",1445977
"TORC ROBOTICS LLC","Department of Defense","Department of the Army",1940444.33
"TORCH TECHNOLOGIES INC","Department of Defense","Department of Defense",18674402.16
"TORCH TECHNOLOGIES INC","Department of Defense","Department of the Air Force",44537816.53
"TORCH TECHNOLOGIES INC","Department of Defense","Department of the Army",114869071.45
"TORCH TECHNOLOGIES INC","Department of Defense","Missile Defense Agency",34641054.66
"TORNIER INC","Department of Defense","Department of the Army",1008560.3
"TORNIER INC","Department of Veterans Affairs","Department of Veterans Affairs",7477057.66
"TORRENT TECHNOLOGIES INC","Department of Homeland Security","Federal Emergency Management Agency",9501525
"TORRES ADVANCED ENTERPRISE SOLUTIONS LLC","Department of Defense","Department of the Army",6542377.6
"TORRES ADVANCED ENTERPRISE SOLUTIONS LLC","Department of State","Department of State",97308058.06
"TOSOH BIOSCIENCE INC","Department of Veterans Affairs","Department of Veterans Affairs",8823906.56
"TOTAL COMPUTER SOLUTIONS INC","Department of Defense","Defense Advanced Research Projects Agency",5092226.78
"TOTAL COMPUTER SOLUTIONS INC","Department of Defense","Department of the Army",2187488.98
"TOTAL ENERGY LLC","Department of Commerce","National Oceanic and Atmospheric Administration",5422364.33
"TOTAL LEARNING SOLUTIONS INC","Department of Labor","Office of the Assistant Secretary for Administration and Management",1054546.99
"TOTAL LOGISTICS SB JOINT VENTURE","Department of Defense","Department of the Navy",73590741.79
"TOTAL NETWORK SOLUTIONS LLC","Department of Defense","Defense Logistics Agency",1197744.53
"TOTAL NETWORKS INCORPORATED","Department of Defense","Department of Defense",2083719.75
"TOTAL OFFICE SOLUTIONS - GSA INC","Department of Defense","Department of the Navy",5247621.1
"TOTAL QUALITY SYSTEMS INC","Department of Defense","Defense Logistics Agency",1790383.69
"TOTAL QUALITY SYSTEMS INC","Department of Defense","Department of the Air Force",1202991.31
"TOTAL QUALITY SYSTEMS INC","Department of Defense","Department of the Navy",6671924.66
"TOTAL RENAL CARE INC","Department of Veterans Affairs","Department of Veterans Affairs",2445816
"TOTAL SITE SERVICES LLC","Department of Defense","Department of the Air Force",2035000.81
"TOTAL SITE SERVICES LLC","Department of Defense","Department of the Army",1539111.6
"TOTAL SITE SERVICES LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3857684.52
"TOTAL SOLUTIONS INC","Department of Health and Human Services","Centers for Disease Control and Prevention",15744045.52
"TOTAL SOLUTIONS INC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",1302730.92
"TOTAL SYSTEM SERVICES INC","General Services Administration","Public Buildings Service",18267939.37
"TOTAL TEAM CONSTRUCTION SERVICES INC","Department of Veterans Affairs","Department of Veterans Affairs",8607288.67
"TOTAL TECHNOLOGY INC","Department of Commerce","National Institute of Standards and Technology",3729752.48
"TOTAL TECHNOLOGY INC","Department of Defense","Department of the Army",12050149.62
"TOTAL WALTHER GMBH FEUERSCHUTZ UND SICHERHEIT","Department of Defense","Defense Security Cooperation Agency",1054686.55
"TOTALIS CONSULTING GROUP INC","Department of Defense","Department of the Army",20027211.45
"TOTALIS CONSULTING GROUP INC","Department of Defense","Department of the Navy",2229532.01
"TOTALLY JOINED FOR ACHIEVING COLLABORATIVE TECHNIQUES TJFACT LLC","Department of Defense","Department of the Army",5319833.73
"TOTALLY JOINED FOR ACHIEVING COLLABORATIVE TECHNIQUES TJFACT LLC","Department of Defense","Department of the Navy",1937347.59
"TOTALLY JOINED FOR ACHIEVING COLLABORATIVE TECHNIQUES TJFACT LLC","Department of Health and Human Services","Centers for Disease Control and Prevention",1920480.32
"TOTALLY JOINED FOR ACHIEVING COLLABORATIVE TECHNIQUES TJFACT LLC","Department of State","Department of State",2910258.16
"TOUCHING LIVE COMMUNITY NETWORK LLC","Department of Veterans Affairs","Department of Veterans Affairs",1288154.8
"TOUCHSTONE CONSULTING GROUP INCORPORATED","Department of Homeland Security","National Protection and Programs Directorate",3150440.78
"TOUCHSTONE RESEARCH LABORATORY LTD INC","Department of Defense","Missile Defense Agency",1397995.34
"TOUZON TECHNOLOGIES INC","Department of Labor","Office of the Assistant Secretary for Administration and Management",2829619.33
"TOWER DAWSON LLC","Department of Health and Human Services","Office of the Assistant Secretary for Administration",1743601.2
"TOWER INDUSTRIES INC","Department of Defense","Department of the Army",166727975
"TOWER INSPECTION INC","Department of Commerce","National Oceanic and Atmospheric Administration",1094049.16
"TOWER SOLUTIONS LLC","Department of Defense","Department of the Air Force",1119671.44
"TOWERSTRIDES INC","Small Business Administration","Small Business Administration",3707540.81
"TOWILL INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1827000
"TOWN CENTER CONSTRUCTION LLC","General Services Administration","Public Buildings Service",1328115.41
"TOWN OF BLACKSTONE","Department of Defense","Defense Logistics Agency",161943083.94
"TOWN OF ESTILL","Department of Justice","Federal Prison System / Bureau of Prisons",1176050
"TOWN OF HUACHUCA CITY","Department of Defense","Department of the Army",8388819.53
"TOXCEL LLC","Department of Transportation","National Highway Traffic Safety Administration",1785417.87
"TOXICOLOGIC PATHOLOGY ASSOCIATES INC","Department of Health and Human Services","Food and Drug Administration",28762805.81
"TOXSERVICES LLC","Environmental Protection Agency","Environmental Protection Agency",1544441.57
"TOYAKOI VENTURES LLC","Department of Defense","Department of the Army",2841116.53
"TOYAL AMERICA INC","Department of Defense","Department of the Army",3312144
"TOYO TRUST TOKKI COLTD","Department of Defense","Department of the Navy",2375651.53
"TOYON RESEARCH CORP","Department of Defense","Department of the Air Force",11762128.32
"TOYON RESEARCH CORP","Department of Defense","Department of the Army",11883897.69
"TOYON RESEARCH CORP","Department of Defense","Department of the Navy",18705226.58
"TOYON RESEARCH CORPORATION","Department of Commerce","National Oceanic and Atmospheric Administration",1199999.97
"TOYON RESEARCH CORPORATION","Department of Defense","Defense Advanced Research Projects Agency",1108951
"TOYON RESEARCH CORPORATION","Department of Defense","Department of Defense",1441778.49
"TOYON RESEARCH CORPORATION","Department of Defense","Missile Defense Agency",2599810.37
"TOYON RESEARCH CORPORATION","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",10000000
"TOYOTA GIBRALTAR STOCKHOLDINGS LTD","Agency for International Development","Agency for International Development",1352914.79
"TOYOTA GIBRALTAR STOCKHOLDINGS LTD","Department of State","Department of State",2634322.49
"TOYOTA GIBRALTAR STOCKHOLDINGS LTD","Peace Corps","Peace Corps",3045369.51
"TPL INC","Department of Defense","Department of the Air Force",1084977
"TPMC THETAPRO2SERVE MANAGEMENT COMPANY LIMITED LIABILITY COMPANY","Department of Energy","Department of Energy",96215421.92
"TPMC-ARM ENVIRONMENTAL SOLUTIONS LLC","Department of Defense","Department of the Air Force",1831652.35
"TPR MEDIA LLC","Department of Defense","Defense Health Agency",2371108
"TPS AVIATION INC","Department of Defense","Defense Logistics Agency",2429417.07
"TQI SOLUTIONS INC","Department of Defense","Department of the Navy",21003759.99
"TQM INC","Department of Defense","Defense Logistics Agency",18706918.85
"TQM INC","Department of Defense","Department of the Army",93839627.48
"TQM INC","Department of Health and Human Services","Centers for Disease Control and Prevention",2345475.36
"TQS CORP","Department of Defense","Department of the Navy",1907563.81
"TRACE FIRST LTD","Department of Agriculture","Animal and Plant Health Inspection Service",5955756
"TRACE INC","Department of Defense","Defense Commissary Agency",131789433.44
"TRACE INC","Department of Defense","Department of the Air Force",22937604.12
"TRACE INDUSTRIES INC","General Services Administration","Public Buildings Service",2054220
"TRACE SYSTEMS INC","Department of Defense","Defense Information Systems Agency",19116005.73
"TRACE SYSTEMS INC","Department of Defense","Department of Defense",3884392.35
"TRACE SYSTEMS INC","Department of Defense","Department of the Air Force",5686135.44
"TRACE SYSTEMS INC","Department of Defense","Department of the Army",16229218.37
"TRACE-APB LLC","Department of Homeland Security","U.S. Coast Guard",4751235
"TRACEN TECHNOLOGIES INC","Department of Defense","Department of the Navy",2173437.37
"TRACEN TECHNOLOGIES INC","Department of the Treasury","Internal Revenue Service",4415406.19
"TRACLABS INC","Department of Defense","Department of the Air Force",1162002
"TRACLABS INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",4541671
"TRADE CENTER MANAGEMENT ASSOCIATES LIMITED LIABILITY COMPANY","Department of Homeland Security","Office of the Chief Procurement Officer",1116909.48
"TRADE CENTER MANAGEMENT ASSOCIATES LLC","United States Trade and Development Agency","United States Trade and Development Agency",1511707
"TRADE LINKS LOGISTICS GENERAL TRADING AND CONTRACTING CO","Department of Defense","Defense Logistics Agency",4051347
"TRADE LINKS LOGISTICS GENERAL TRADING AND CONTRACTING CO","Department of Defense","Department of the Air Force",1936642.68
"TRADE PRODUCTS CORP","Department of Defense","Department of the Air Force",7892586.28
"TRADE PRODUCTS CORP","Department of Defense","Department of the Army",3377237.36
"TRADE PRODUCTS CORP","Department of Defense","Department of the Navy",1784771.51
"TRADE WEST CONSTRUCTION INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",9548340.91
"TRADEMASTERS SERVICE INC","Broadcasting Board of Governors","Broadcasting Board of Governors",1084662
"TRADEMASTERS SERVICE INC","Department of Agriculture","Agricultural Research Service",5496796.48
"TRADEMASTERS SERVICE INC","Department of Commerce","Office of the Secretary",1905068.8
"TRADEMASTERS SERVICE INC","Department of Defense","Department of the Army",1475487.02
"TRADEMASTERS SERVICE INC","Department of Defense","Department of the Navy",2225380.23
"TRADEMASTERS SERVICE INC","Department of Homeland Security","Transportation Security Administration",7349103.67
"TRADEMASTERS SERVICE INC","General Services Administration","Public Buildings Service",9209453.83
"TRADESMEN GROUP INC THE","Department of Defense","Department of the Army",2510030.85
"TRADESMEN GROUP INC THE","Department of the Interior","National Park Service",5973561.02
"TRADESMEN GROUP INC THE","General Services Administration","Public Buildings Service",2190786.1
"TRADEWINDS SERVICES INC","Department of Defense","Department of the Army",2504499.44
"TRADEWINDS SHIPPING INC","Agency for International Development","Agency for International Development",2180933.88
"TRADEWORX INC","Securities and Exchange Commission","Securities and Exchange Commission",2999400
"TRAFFIC INJURY RESEARCH FOUNDATION OF CANADA","Department of Transportation","National Highway Traffic Safety Administration",1764780.54
"TRAFIGURA MARITIME LOGISTICS PTE LTD","Department of Defense","Department of the Navy",4912722
"TRAILBLAZER INNOVATIONS INC","Department of Defense","Department of the Army",3507796.18
"TRAILBLAZER INNOVATIONS INC","Department of Defense","Department of the Navy",6367103.23
