"recipient","agency","subagency","obligation"
"A HAROLD AND ASSOCIATES LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",2553414.15
"A HAROLD AND ASSOCIATES LLC","Department of Defense","U.S. Special Operations Command",1545702.52
"A HAROLD AND ASSOCIATES LLC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",4007449
"A HAROLD AND ASSOCIATES LLC","Department of Homeland Security","Transportation Security Administration",2248074.14
"A J ASSOCIATES MANUFACTURING & ENGINEERING CO INC","Department of Defense","Defense Logistics Agency",2566743.42
"A M WELLES INC","Department of Transportation","Federal Highway Administration",3511881.5
"A MINER CONTRACTING INC","Department of Transportation","Federal Highway Administration",2664354.79
"A P VENTURES LLC","Department of Health and Human Services","Health Resources and Services Administration",1777397.14
"A P VENTURES LLC","General Services Administration","Office of Government-wide Policy",1735276.45
"A PLUS INDUSTRIES INC","Department of Defense","Department of the Air Force",6587817.65
"A PLUS INDUSTRIES INC","Department of Defense","Department of the Army",1072885
"A PLUS TECHNOLOGIES","Department of Defense","Department of the Army",9787036.53
"A PRENTICE RAY AND ASSOCIATES LLC","Department of State","Department of State",20990866.39
"A R ACOSTA LTD","Department of Defense","Department of the Air Force",1711353.71
"A R ACOSTA LTD","Environmental Protection Agency","Environmental Protection Agency",2663831.15
"A R ACOSTA LTD","General Services Administration","Public Buildings Service",2351473.01
"A REDDIX & ASSOCIATES INC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",37783505.79
"A ROCK CONSTRUCTION CO INC","Department of Defense","Department of the Army",2374088.66
"A ROCK CONSTRUCTION CO INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3440434.03
"A SOLUTION INC","Department of Health and Human Services","National Institutes of Health",7908178.46
"A SOLUTION INC","Department of Justice","Offices, Boards and Divisions",1592186.79
"A SQUARE GROUP LLC","Department of Veterans Affairs","Department of Veterans Affairs",1858459.12
"A T & T CORP","Department of Health and Human Services","Centers for Disease Control and Prevention",100050792.06
"A T & T CORP","Department of Health and Human Services","Office of Intergovernmental and External Affairs",12052114.83
"A T & T CORP","Department of Justice","Federal Prison System / Bureau of Prisons",1991751.34
"A T & T CORP","Department of Justice","U.S. Marshals Service",4049674.5
"A T & T CORP","Department of State","Department of State",136058415.4
"A T A SERVICES INC","Department of Veterans Affairs","Department of Veterans Affairs",1227031.18
"A T AND T COMMUNICATION SERVICES INTERNATIONAL INCORPORATED","Department of Homeland Security","Office of the Chief Procurement Officer",126143450.12
"A T AND T CORPORATION 4710","Agency for International Development","Agency for International Development",28081843.44
"A T AND T CORPORATION 4710","Department of Defense","Defense Information Systems Agency",62198978.65
"A T AND T CORPORATION 4710","Department of Defense","Department of Defense",70173970.99
"A T AND T CORPORATION 4710","Department of Defense","Department of the Navy",438218792.64
"A T AND T CORPORATION 4710","Department of Defense","National Geospatial-Intelligence Agency",1168774.03
"A T C HEALTHCARE SERVICES INCORPORATED 2356","Department of Veterans Affairs","Department of Veterans Affairs",1239511.73
"A W DEVELOPMENTS","Department of Defense","Defense Logistics Agency",1139364.82
"A W S CONVERGENCE TECHNOLOGIES INC","Department of Commerce","National Oceanic and Atmospheric Administration",1549424.6
"A WEST ENTERPRISE LLC","Department of Defense","Department of the Army",14949791
"A WEST ENTERPRISE LLC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",4979987
"A WILEY & ASSOCIATES","Department of Defense","Defense Logistics Agency",1504781.44
"A-C SPECIALTIES INC","Department of Veterans Affairs","Department of Veterans Affairs",1061008.18
"A-DEC INC","Department of Defense","Defense Logistics Agency",290412699.12
"A-DEC INC","Department of Defense","Department of the Navy",1381173.99
"A-DEC INC","Department of Health and Human Services","Indian Health Service",1394049.59
"A-DEC INC","Department of Veterans Affairs","Department of Veterans Affairs",2353769.35
"A-G ASSOCIATES INC","Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",16784368.84
"A-P-T RESEARCH INC","Department of Defense","Department of the Army",1878245.3
"A-SA-MA-DI SMART BUSINESS SOLUTIONS LLC","Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education",4740709.68
"A-SONS CONSTRUCTION INC","Department of Housing and Urban Development","Department of Housing and Urban Development",33201156.73
"A-T SOLUTIONS INC","Department of Defense","Defense Finance and Accounting Service",18754722.03
"A-T SOLUTIONS INC","Department of Defense","Defense Threat Reduction Agency",11374652.96
"A-T SOLUTIONS INC","Department of Defense","Department of the Army",649362913.26
"A-T SOLUTIONS INC","Department of Defense","Department of the Navy",327222184.14
"A-T SOLUTIONS INC","Department of Defense","U.S. Special Operations Command",44763336.12
"A-T SOLUTIONS INC","Department of Homeland Security","National Protection and Programs Directorate",11030705.86
"A-T SOLUTIONS INC","Department of Justice","Department of Justice",9086671.35
"A-T SOLUTIONS INC","Department of Justice","Federal Bureau of Investigation",3368505.73
"A-TEAM SOLUTIONS LLC","Department of Defense","Defense Human Resources Activity",4994535.03
"A-TEAM SOLUTIONS LLC","Department of Defense","Department of the Army",6201268.02
"A-TEAM SOLUTIONS LLC","Department of Health and Human Services","National Institutes of Health",2462559.76
"A-TEAM SOLUTIONS LLC","Department of Veterans Affairs","Department of Veterans Affairs",19636926.17
"A-TEAM SOLUTIONS LLC","Millennium Challenge Corporation","Millennium Challenge Corporation",2127051.95
"A-TECH CORPORATION","Department of Defense","Department of the Air Force",27415067.1
"A-TECH CORPORATION","Department of Defense","Department of the Navy",3044989.77
"A-TECH SYSTEMS INC","Department of Defense","Defense Information Systems Agency",1994201.59
"A-TECH SYSTEMS INC","Department of Defense","Department of the Army",4992797.79
"A-TEK INC","Department of Health and Human Services","National Institutes of Health",14937534.53
"A-TEK INC","Department of Homeland Security","Transportation Security Administration",5860478.43
"A-TEK INC","Department of Justice","Offices, Boards and Divisions",1173122.92
"A-VET ROOFING & CONSTRUCTION LLC","Department of Defense","Department of the Air Force",5198304.04
"A-VET ROOFING & CONSTRUCTION LLC","Department of Defense","Department of the Army",1308058.86
"A-VET ROOFING & CONSTRUCTION LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1785651.82
"A-VET ROOFING & CONSTRUCTION LLC","Department of Labor","Mine Safety and Health Administration",2192635.43
"A-VETMGC A JOINT VENTURE LLC","Department of Defense","Department of the Air Force",1771784.82
"A-VETMGC II A JOINT VENTURE LLC","Department of Defense","Department of the Air Force",11830951.66
"A-Z SOLUTIONS INC","Department of Veterans Affairs","Department of Veterans Affairs",1823135.64
"A-ZONE ENVIRONMENTAL SERVICES LLC","Department of Defense","Defense Logistics Agency",3458649.74
"A-ZONE ENVIRONMENTAL SERVICES LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1662769.03
"A&A HARRIS ENTERPRISES","Department of Homeland Security","Office of the Chief Procurement Officer",1684787.67
"A&A HARRIS ENTERPRISES","Department of Homeland Security","U.S. Customs and Border Protection",3400616.3
"A&D GC INC","Department of Defense","Department of the Navy",1232023.33
"A&E ARCHITECTS PC","Department of Health and Human Services","National Institutes of Health",26973955.98
"A&E ARCHITECTS PC","Department of the Interior","National Park Service",1177949.09
"A&G PHARMACEUTICAL INC","Department of Health and Human Services","National Institutes of Health",2478552
"A&H - AMBICA JV LLC","Department of Defense","Department of the Air Force",1416903.4
"A&H - AMBICA JV LLC","Department of Defense","Department of the Army",1085849.64
"A&H - AMBICA JV LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1236131.28
"A&H - AMBICA JV LLC","Department of the Interior","U.S. Fish and Wildlife Service",1203523
"A&M ELECTRICAL CONTRACTORS INC","Department of Justice","Federal Bureau of Investigation",1644612.96
"A1 STAFFING & RECRUITING AGENCY INC","Department of Defense","Department of the Army",2255075.69
"A2 SYSTEMS ENGINEERING INC","Department of Defense","Department of Defense",6064750.43
"A2M CONSULTING","Department of Defense","Department of the Air Force",3198298.62
"A2Z FIELD SERVICES LLC","Department of Housing and Urban Development","Department of Housing and Urban Development",170921048.72
"A2Z INC","Department of Defense","Department of the Navy",14784829.71
"A2Z SUPPLY CORP","Department of Justice","Federal Prison System / Bureau of Prisons",1537416.25
"A2Z SUPPLY CORP","Department of Veterans Affairs","Department of Veterans Affairs",21073803.37
"A3 CONSULTING LLC","Office of Personnel Management","Office of Personnel Management",4649380
"A3 TECHNOLOGIES LLC","Department of Defense","Department of the Army",4386832
"A3 TECHNOLOGY INC","Department of Transportation","Federal Aviation Administration",24397813.31
"AA DENTAL STAFFING INC","Department of Defense","Department of the Navy",1261633.55
"AA TEMPS INCORPORATED","Department of Justice","Offices, Boards and Divisions",1054437.38
"AA TEMPS INCORPORATED","Department of the Interior","Office of the Solicitor",1655342.53
"AAA AIRCRAFT SUPPLY LLC","Department of Defense","Defense Logistics Agency",18701906.13
"AAA COMPLETE BUILDING SERVICES INC","Department of the Interior","National Park Service",2130239.51
"AAA COMPLETE BUILDING SERVICES INCORPORATED","Department of Health and Human Services","National Institutes of Health",18745293.29
"AAA COMPLETE BUILDING SERVICES INCORPORATED","Department of the Treasury","Office of the Comptroller of the Currency",2210480.63
"AAA GENERAL CONTRACTORS LLC","Department of Veterans Affairs","Department of Veterans Affairs",1440718
"AAA MOBILE SHOWERS INC","Department of Agriculture","Forest Service",3056943.62
"AABS JV LLC","Environmental Protection Agency","Environmental Protection Agency",9610543.6
"AAC CONSTRUCTION AND TECHNOLOGY ARCHITECTURE CONSULTANT JOINT STOCK COMPANY","Department of Defense","Department of the Navy",5265029.49
"AAC INC","Consumer Financial Protection Bureau","Consumer Financial Protection Bureau",10300058.69
"AAC INC","Department of Defense","Department of the Air Force",3015967.66
"AAC INC","Department of Defense","Department of the Navy",57964309.44
"AAC INC","Department of Health and Human Services","National Institutes of Health",2558039.27
"AAC INC","Department of Justice","Office of Justice Programs",61550692.24
