COC_Number,COC_Name,amount
PA-503,Wilkes-Barre/Hazleton/Luzerne County CoC,2655465.52
PA-504,Lower Marion/Norristown/Abington/Montgomery County CoC,3779218.54
PA-505,Chester County CoC,4700489.9
PA-506,Reading/Berks County CoC,2925689.05
PA-508,Scranton/Lackawanna County CoC,4062555.08
PA-509,Eastern Pennsylvania CoC,10250291.76
PA-510,Lancaster City & County CoC,2834816.3
PA-511,Bristol/Bensalem/Bucks County CoC,756297.6
PA-512,York City & County CoC,985390.92
PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,19507970
PA-601,Western Pennsylvania CoC,9887681.32
PA-603,Beaver County CoC,1137507.58
PA-605,Erie City & County CoC,2456239
PR-502,Puerto Rico Balance of Commonwealth CoC,14646616.95
PR-503,South-Southeast Puerto Rico CoC,7425508.58
RI-500,Rhode Island Statewide CoC,7128224.99
SC-500,Charleston/Low Country CoC,3267881.93
SC-501,Greenville/Anderson/Spartanburg Upstate CoC,3963115.06
SC-502,Columbia/Midlands CoC,7496117.36
SC-503,Myrtle Beach/Sumter City & County CoC,2234659.41
SD-500,South Dakota Statewide CoC,2677862.91
TN-500,Chattanooga/Southeast Tennessee CoC,2656782.23
TN-501,Memphis/Shelby County CoC,9023420.11
TN-502,Knoxville/Knox County CoC,2533290.06
TN-503,Central Tennessee CoC,2347378.6
TN-504,Nashville/Davidson County CoC,9436053.74
TN-506,Oak Ridge/Upper Cumberland CoC,732562.32
TN-507,Jackson/West Tennessee CoC,1615265.09
TN-509,Appalachian Regional CoC,2059464
TN-510,Murfreesboro/Rutherford County CoC,466485
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",97135
TX-500,San Antonio/Bexar County CoC,11749648.49
TX-503,Austin/Travis County CoC,8809050.88
TX-600,Dallas City & County/Irving CoC,17920174.77
TX-601,Fort Worth/Arlington/Tarrant County CoC,15703167.46
TX-603,El Paso City & County CoC,3475244.4
TX-604,Waco/McLennan County CoC,776670.9
TX-607,Texas Balance of State (BoS) CoC,8242475.4
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",380385
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",33549908.97
TX-701,Bryan/College Station/Brazos Valley CoC,255830.43
UT-500,Salt Lake City & County CoC,12050022.37
UT-503,Utah Balance of State CoC,2250292.83
UT-504,Provo/Mountainland CoC,1313552.18
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",9411267.93
VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",3982990.24
VA-502,Roanoke City & County/Salem CoC,972848
VA-503,Virginia Beach CoC,1956236
VA-504,Charlottesville CoC,568668
VA-505,Newport News/Hampton/Virginia Peninsula CoC,1707858.87
VA-507,Portsmouth CoC,897459.93
VA-508,Lynchburg CoC,346204.42
VA-513,"Harrisburg, Winchester/Western Virginia CoC",356908
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",273731
VA-521,Virginia Balance of State (BoS) CoC,323967.74
VA-600,Arlington County CoC,2297020.4
VA-601,Fairfax County CoC,10804584.24
VA-602,Loudoun County CoC,153907.73
VA-603,City of Alexandria CoC,393748
VA-604,Prince William County CoC,1055279
VI-500,Virgin Islands CoC,249315.12
VT-500,Vermont Balance of State CoC,3955310.54
VT-501,Burlington/Chittenden County CoC,1350130.5
